,Action.Execution.Speech,Action.Execution,Action.Imagination,Action.Inhibition,Action.Observation,Action,Cognition.Attention,Cognition.Language.Orthography,Cognition.Language.Phonology,Cognition.Language.Semantics,Cognition.Language.Speech,Cognition.Language,Cognition.Memory.Explicit,Cognition.Memory.Working,Cognition.Memory,Cognition.Music,Cognition.Reasoning,Cognition.SocialCognition,Cognition.Spatial,Cognition,Emotion.Negative.Fear,Emotion.Negative.Sadness,Emotion.Negative,Emotion.Positive.Happiness,Emotion.Positive.RewardGain,Emotion.Positive,Emotion,Interoception.Sexuality,Interoception,Perception.Audition,Perception.Somesthesis.Pain,Perception.Somesthesis,Perception.Vision.Color,Perception.Vision.Motion,Perception.Vision.Shape,Perception.Vision,Perception
language,0.691,0.615,0.016,0.532,0.233,0.676,0.807,0.001,0.0,0.0,0.025,0.0,0.37,0.004,0.011,0.022,0.689,0.546,0.403,0.0,0.41,0.624,0.644,0.886,0.139,0.93,0.765,0.239,0.116,0.943,0.186,0.126,0.002,0.676,0.679,0.363,0.921
language comprehension,0.902,0.785,0.075,0.751,0.537,0.822,0.488,0.013,0.006,0.006,0.124,0.051,0.537,0.762,0.766,0.095,0.519,0.031,0.416,0.362,0.409,0.353,0.87,0.734,0.544,0.885,0.73,0.632,0.245,0.84,0.231,0.2,0.03,0.452,0.823,0.965,0.392
learning,0.945,0.735,0.521,0.09,0.509,0.801,0.058,0.474,0.326,0.599,0.206,0.279,0.356,0.792,0.53,0.343,0.572,0.162,0.783,0.578,0.41,0.833,0.538,0.305,0.987,0.921,0.962,0.342,0.956,0.536,0.128,0.341,0.575,0.108,0.149,0.593,0.187
listening,0.01,0.139,0.03,0.689,0.062,0.222,0.267,0.03,0.034,0.778,0.335,0.521,0.104,0.389,0.763,0.002,0.018,0.016,0.572,0.09,0.241,0.193,0.584,0.649,0.356,0.758,0.83,0.246,0.966,0.439,0.136,0.097,0.489,0.237,0.29,0.228,0.982
localization,0.465,0.685,0.492,0.852,0.006,0.176,0.227,0.996,0.156,0.152,0.265,0.073,0.071,0.871,0.581,0.153,0.424,0.082,0.828,0.428,0.942,0.166,0.035,0.403,0.403,0.154,0.616,0.063,0.987,0.877,0.728,0.796,0.271,0.948,0.454,0.639,0.852
loss,0.555,0.467,0.464,0.393,0.148,0.206,0.157,0.097,0.569,0.427,0.973,0.514,0.22,0.486,0.07,0.541,0.001,0.882,0.673,0.688,0.076,0.125,0.784,0.377,0.123,0.205,0.183,0.644,0.728,0.965,0.586,0.624,0.057,0.116,0.723,0.466,0.836
maintenance,0.972,0.303,0.026,0.157,0.252,0.186,0.06,0.0,0.002,0.333,0.472,0.37,0.691,0.0,0.0,0.0,0.0,0.507,0.023,0.001,0.925,0.093,0.052,0.721,0.82,0.689,0.08,0.905,0.526,0.201,0.03,0.468,0.014,0.074,0.21,0.084,0.228
manipulation,0.609,0.657,0.313,0.53,0.843,0.548,0.834,0.057,0.051,0.05,0.059,0.004,0.185,0.133,0.127,0.413,0.56,0.387,0.846,0.033,0.974,0.965,0.179,0.052,0.167,0.227,0.819,0.617,0.897,0.351,0.275,0.715,0.754,0.247,0.998,0.802,0.12
meaning,0.412,0.331,0.729,0.295,0.339,0.466,0.011,0.001,0.109,0.142,0.379,0.041,0.942,0.046,0.008,0.563,0.247,0.508,0.028,0.008,0.004,0.001,0.0,0.0,0.085,0.783,0.336,0.212,0.038,0.644,0.052,0.036,0.0,0.019,0.003,0.0,0.015
memory,0.761,0.133,0.02,0.682,0.106,0.112,0.034,0.001,0.0,0.003,0.028,0.001,0.26,0.0,0.0,0.03,0.019,0.431,0.012,0.0,0.753,0.064,0.753,0.925,0.907,1.0,0.991,0.108,0.109,0.062,0.583,0.103,0.034,0.048,0.365,0.111,0.647
