,Action.Execution.Speech,Action.Execution,Action.Imagination,Action.Inhibition,Action.Observation,Action,Cognition.Attention,Cognition.Language.Orthography,Cognition.Language.Phonology,Cognition.Language.Semantics,Cognition.Language.Speech,Cognition.Language,Cognition.Memory.Explicit,Cognition.Memory.Working,Cognition.Memory,Cognition.Music,Cognition.Reasoning,Cognition.SocialCognition,Cognition.Spatial,Cognition,Emotion.Negative.Fear,Emotion.Negative.Sadness,Emotion.Negative,Emotion.Positive.Happiness,Emotion.Positive.RewardGain,Emotion.Positive,Emotion,Interoception.Sexuality,Interoception,Perception.Audition,Perception.Somesthesis.Pain,Perception.Somesthesis,Perception.Vision.Color,Perception.Vision.Motion,Perception.Vision.Shape,Perception.Vision,Perception
communication,0.03469928697674472,-0.12901596453610903,-0.028058550765271893,-0.03621789465871872,-0.08487900651152547,-0.13042669329775058,-0.07467031011244697,0.02529221001649305,0.43777249026268095,0.38497043421456617,0.2795355948101304,0.38045347567821586,0.1058312774026296,0.01902135926788992,-0.04013060208189207,-0.09212251762096016,0.041947938459866156,0.34039434842654426,-0.07403041680483807,0.12800090959825458,0.24680266334083115,-0.0068177776058861595,0.013498080421139024,0.03238593828857377,-0.015288196290267168,0.00948495337140377,0.0018746180098874166,-0.03682193682205163,-0.0163748038772527,-0.08681087555729945,-0.1321773628012649,-0.14290829072035846,0.1212719210904901,0.09964555734237238,-0.011700884934758463,-0.049614580337919205,-0.08285778289681459
competition,0.060505624910151636,-0.09181662634959076,0.05171933537905818,0.006378626726697861,0.11286772539043728,-0.0872499808190159,0.17190325052086053,0.331757368258093,0.17525774581468875,0.1573358860325904,0.12533094655137356,0.19571728038934952,0.005930488506579933,0.23797342344151667,0.17777600158444934,0.10588210082617089,0.24396388724314416,0.01298495295585907,0.14041776231733805,0.21235092111779674,0.09283577676116667,0.0749662440515943,0.12403525818960623,0.1661307911816694,0.023422977084621256,0.06684134973989987,0.06627839942167792,0.014791787901857598,-0.07115550768448264,0.063049826865116,0.003062966568806574,-0.05129940126059772,0.0905422230405737,0.11560008364317013,0.1866991275456866,0.18604634930904143,0.08559438582379467
concept,-0.0656874162437506,-0.007367843178463073,0.0268783475715341,-0.08279172182388522,-0.00011680932447240363,0.018373029789315973,0.002564783982103303,0.11081942770498275,0.2521802890563169,0.29810498746321806,0.05939093025828227,0.2549485090996808,0.005206038708799354,-0.0037043510282040583,-0.011673555183235814,-0.008527793380868806,0.0002911306901613326,0.2575539832187448,-0.04853434241891076,0.14216422329628758,0.05326552919674965,-0.011883661067969507,-0.058265209972330506,0.0330360484589428,-0.048543742412725674,-0.027983924536830178,-0.05627827976820489,-0.07135008851429853,-0.09222209358703291,0.03209921452947917,-0.1715878653177522,-0.18248802884417276,-0.0033656878801215707,-0.016720118893755586,0.02439447154898957,-0.02967078563591123,-0.05986011713857342
consciousness,-0.061963319951055536,-0.1408525250852741,0.013210536421730555,-0.04774130673206963,9.769338936761225e-05,-0.1346631246810272,-0.06976306880032974,-0.07222576492824015,-0.014554521365481679,0.02402015263241015,0.055373252135857226,0.04914686724878406,0.047133856510457525,-0.06266067427337704,-0.04657321394005294,-0.0626241099462397,0.13967952741185843,0.007385046777778495,-0.07008403625024509,-0.012531264248394305,-0.033237205433358265,-0.05462019643470966,-0.06137535981415302,-0.06778269642270408,0.0938738227553523,0.002873780501576483,-0.049554629570012054,0.01571658947096529,0.035892326454187176,-0.0452910557783463,-0.024815934170003724,-0.06606490688763704,-0.04904631845193655,0.020918746042880913,0.011445899536372615,-0.005980021185781463,-0.06478896246661883
consolidation,-0.11402642193280241,-0.06337751651281483,-0.02323547434259176,0.0746969463274481,-0.05739618926428166,-0.04533978271705219,0.1263197436809823,-0.1163862870688441,-0.04028422759789267,0.04767996667147695,-0.0991815289932707,0.018775855448925433,0.2053267266668119,-0.1301657744936596,-0.08358348085225098,0.09284668060025206,-0.0841626718412209,-0.07852784145690049,-0.08402681900822677,-0.07828864952131281,-0.05961505553095945,-0.06883488979297757,0.0031344390653488523,-0.10710377451565894,0.08826776371752668,0.11366498969073392,0.10483773965771705,0.020428706361407402,0.17958951593536976,-0.0668154783415642,0.0386410747732137,-0.001269289958969264,-0.08166088169066901,-0.05970922422451455,-0.1595136324704404,-0.11833419983948057,-0.10836155748928798
context,-0.009397208427147277,-0.09216462590040984,-0.07414177494049809,-0.02362727621285185,-0.0889833383137641,-0.09461238025976149,0.006904099613072856,0.18063684517633194,0.5568684982625413,0.5693567526227634,0.15740341512783987,0.541263106440606,0.1352392477519672,0.03243789226662226,-0.0015732625921593675,-0.06768826893075111,0.22158359776559833,0.050550553281649285,-0.0064382820431999,0.3134077406429566,-0.013100095878451287,-0.04904073760557068,-0.019717385667912916,-0.05641059349514242,-0.008367120722279154,-0.01700809879139063,0.00747156950705964,-0.038365808979795496,-0.03424810615179708,0.02286357024913448,-0.12228528502447526,-0.12311099383838994,-0.0490249447421303,0.030509847550132363,-0.007832860426162363,-0.029166175699529975,-0.05404329728011381
coordination,0.32038880624600014,0.65617314428204,-0.12428562365846545,0.03008430050926464,-0.13222376403965966,0.6070691007033795,-0.12416262723620336,-0.10180674490495807,-0.1521191980871375,-0.10085400231604141,0.036283535926014514,-0.10615660431275778,-0.04162088653476895,-0.18305343636582447,-0.1542488756200198,0.09644629499560958,-0.15694920199263465,-0.14113177582274805,-0.12494983995565329,-0.10343937751269722,-0.08984393470936576,0.05382470828137203,-0.09370494118214746,-0.02942283384417141,-0.053365922447702094,-0.10737376791748215,-0.12498084097406081,0.10548675234552138,0.10856217007716464,0.25361522163824884,0.03418626403398517,0.19663336847331572,0.017055540822333744,-0.002352584908106801,-0.12242865875337228,-0.0998763138637408,0.0064015835558620835
decision,0.003821254452738218,-0.0631531920038434,0.04275099723361321,-0.010185646402797673,-0.059607075729381065,-0.06714286294956257,0.05003763104205797,0.2202874420894687,0.05717777482822851,-0.02243038456010696,-0.021862609987640617,-0.014474852177134144,-0.0652176657430179,0.12734084172153431,0.08623341201530486,-0.03209804999941813,0.38821310367579476,0.20849180604884207,0.03652383097094619,0.04659516318935012,-0.07394264202241016,-0.007551226599894836,0.07879992385728271,-0.03063955856873253,0.0980107358140648,0.04483784019462202,0.12147143782396758,-0.013411249940753555,-0.03991351481201374,-0.01124218356453958,-0.036298438427739096,-0.049343307625629815,-0.05084705839627583,0.06284454626347918,0.057104360021617645,-0.01744137103098548,-0.05971089967671542
decision making,-0.06411313999694185,-0.08291993225088586,0.04335679027492066,-0.008845312686848168,-0.08472492522706615,-0.09099667344604034,0.06548404296827366,0.09382250588005465,0.00420882148007054,-0.08818566474803526,-0.08843568186319527,-0.09804899961262661,-0.05488644013677428,0.08144811036412516,0.05760084703557892,-0.0934878203142505,0.3255137877975165,0.1515110410620771,0.048550705847154166,-0.03098357540298686,-0.09762797250991395,-0.010528296078904447,0.058771822524082876,-0.016397973206466424,0.1803099231689206,0.11251803789527297,0.15518833728324527,0.0036510272374685616,-0.00891610197675043,-0.07767375001768366,0.054091132269960956,0.05500437246261317,-0.06372574347058568,0.014049406018695119,-0.014083464163837482,-0.03810580073490321,-0.05532083221226633
detection,0.09182783055283525,0.08358987957653902,-0.08108107046661675,0.01187531956421001,0.04611645371087447,0.07380040597184985,-0.050348790044586166,-0.04259830570719612,-0.08616264881023573,-0.035549676212785396,-0.039185926945375434,-0.05890522500955006,-0.06857259988709336,-0.07819946863009267,-0.073335275223842,0.033965522547568766,-0.06198736771223823,-0.030849539035281766,-0.06792319038046785,-0.053949895265381215,0.021829140818573352,-0.042135887908542426,0.028638842263639032,0.004657423840265171,-0.0369680961737445,-0.03936895482610438,-0.03536104100194043,0.006517731662365927,0.02460037210766357,-0.02134916615355118,0.07297466974347293,0.12430364328928002,-0.022505589069989073,-0.026968346759135627,-0.056926690761438664,-0.026047078582836718,0.06225573590081084
eating,0.11646399006571002,-0.009171193708422717,-0.06588156872495614,-0.08626377536511937,-0.07475401470839615,-0.04084213688083675,0.01987671513540829,0.07272656128279467,0.049099158973743555,-0.045112996085875,0.11644497643522086,-0.027112769985094487,0.011453234723426317,-0.019682620903580698,-0.08829587471699771,-0.06619869468781836,0.16600761964463012,0.03418839792410713,0.004864269300794614,-0.008405213011049965,0.1416677875067631,-0.014213684468050231,0.08976233045299428,0.029655400361703162,-0.02292498041712785,-0.004021665492938955,0.02571156525750757,-0.02428631676097018,-0.023065760805963505,0.014720196422200106,-0.10463067754684197,-0.07638288196643116,-0.005883345194990229,0.061769877809431516,0.05473273911797309,0.01663741336894675,-0.016838351132182898
emotion,-0.1166304912051744,-0.20866471526653124,0.07640140497797795,-0.01884682473480978,-0.07685381553468297,-0.20464895625368434,-0.004523237043467479,0.07532821416713233,0.2583164647757281,0.3482545953566012,0.021029623619532103,0.25582672569189135,0.16523782622494976,-0.06794307795584051,-0.028457810453266095,-0.12033040302306108,0.11442481917714328,0.5047071755240673,0.13091499587476443,0.10768357673706813,0.09383499699729234,0.035569877433242,0.11080066321798827,0.03261128056228221,0.08978046817272047,0.09614325501497842,0.12541524644838237,0.00406225915494506,-0.023199712177092956,-0.10557093001533234,-0.07740604917908343,-0.10880356813049526,0.005655305862941454,-0.024580462450282246,0.281722835446801,0.10521501041272659,0.038670252741889725
emotion regulation,-0.09939954957713654,-0.20977258814840777,0.00387280481439305,-0.11168845130277863,-0.007961523691380534,-0.20170120475285913,0.009398162725398512,0.14594111296502904,0.28705067481889546,0.18320393702338947,0.11195591741027525,0.21424615977473088,0.0714258786691784,0.036938553678798926,0.042435851322575775,-0.051811442196849224,0.06585805256996798,0.39115359620782036,0.0768418866076846,0.2130205657244174,0.08841881698670473,0.0824983677856023,0.1822145047488013,-0.006643814812558961,0.1122231874058772,0.14414576835417045,0.27585634517524815,0.05555029103498358,0.09903559440518714,-0.137925278760381,0.038599422547720245,-0.0714337036694862,0.0020406489195535556,0.01400260483536106,0.05240487912343303,0.0179447289929716,-0.050092736951627644
